Código USFQ,Código procedencia,Especie,Tipo de muestra,Estado salud animal,observaciones,Fecha colección,Fecha recepción,Semana Epidemiológica,Provincia,Ciudad,Localidad,Nombre_animal,Género,Edad,MÉDICO CONTACTO,Diagnóstico Kit Allplex,Diagnóstico Kit Bioperfectuss/LunaSARS,RT-PCR gen M,Gel amplicon sequencing,Secuenciamiento,run,PB2,PB1,PA,HA,NP,NA,MP,NS,n_regions_assembled,has_8_regions,confirmed_segments,n_confirmed_segments
Flu-0330,BM-IA-22,Aves de corral,Hisopado,,---,2023-08-17,2023-08-21,,GUAYAS,,,,,,,,,,,Influenza A: H5N1; 2.3.4.4b,12,,,,,SI,,SI,SI,3,,"NP,MP,NS",3
Flu-0402,M1-IP,Fragata,Hisopado Faríngeo,,,2023-10-31,2023-11-01,,GUAYAS,Guayaquil,Isla Manglecito,Fragata Magnificans,,Juvenil,Oscar Vasconez,18.44,15.61,Positivo,,H5N1,17,SI,SI,SI,SI,,SI,SI,SI,7,,"PB2,PB1,PA,HA,NA,MP,NS",7
Flu-0403,M1-IP,Fragata,hisopado Cloacal,,,2023-10-31,2023-11-01,,GUAYAS,Guayaquil,Isla Manglecito,Fragata Magnificans,,Juvenil,Oscar Vasconez,34.25,29.75,Positivo,,H5N1,17,,,,,,,SI,,1,,MP,1
Flu-0406,M3-IP,Fragata,Hisopado Faríngeo,,,2023-10-31,2023-11-01,,GUAYAS,Guayaquil,Isla Manglecito,Fragata Magnificans,Hembra,Adulto,Oscar Vasconez,22.14,18.72,Positivo,,H5N1,17,SI,SI,SI,SI,SI,SI,SI,SI,8,SI,"PB2,PB1,PA,HA,NP,NA,MP,NS",8
Flu-0407,M3-IP,Fragata,hisopado Cloacal,,,2023-10-31,2023-11-01,,GUAYAS,Guayaquil,Isla Manglecito,Fragata Magnificans,Hembra,Adulto,Oscar Vasconez,23.64,19.97,Positivo,,H5N1,17,SI,SI,,SI,SI,SI,SI,SI,7,,"PB2,PB1,HA,NP,NA,MP,NS",7
Flu-0410,M5-IP,Fragata,Hisopado Faríngeo,,,2023-10-31,2023-11-01,,GUAYAS,Guayaquil,Isla Manglecito,Fragata Magnificans,Fragata Magnificans,Juvenil,Oscar Vasconez,Oscar Vasconez,31.55,Negativo,Negativo,-,17,,,,,,,,SI,1,,NS,1
Flu-0413,BM-22-2070,Aves de corral,Líquido en PBS y Shield,,"Cq  20,6",2022-11-25,2023-11-10,,COTOPAXI,,,,,,,,,Positivo,,Influenza A: H5N1,17,,,,,,,SI,,1,,MP,1
Flu-0418,BM-22-2075,Aves de corral,Líquido en PBS y Shield,,"Cq  19,61",2022-11-25,2023-11-10,,COTOPAXI,,,,,,,,,Positivo,,Influenza A: H5N1,17,,,,,,,SI,,1,,MP,1
Flu-0423,BM-22-2132,Aves de corral,Líquido en PBS y Shield,,"Cq H5  *38,01",2022-12-16,2023-11-10,,COTOPAXI,,,,,,,,,Positivo,,,17,,,,,,,,SI,1,,NS,1
Flu-0440,BM-22-2672,Aves de corral,Líquido en PBS y Shield,,"Cq  17,38",2022-12-16,2023-11-10,,COTOPAXI,,,,,,,,,Positivo,,Influenza A: H5N1,17,,,,,,SI,,,1,,,1
